"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;"J1,J2";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02_Male";;;
2;"C1,C2,C4,C6";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;".1uF";;;
3;"U4";"HLK-PM01-PAK";1;"HLK-PM01";;;
4;"R4";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1k";;;
5;"R3,R1,R2";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"10k";;;
6;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM-32D";;;
7;"REF**,REF**,REF**,REF**";"MountingHole_3.5mm";4;"MountingHole_3.5mm";;;
8;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
9;"J4";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"Screw_Terminal_01x02";;;
10;"C3";"CP_EIA-7343-43_Kemet-X_Pad2.25x2.55mm_HandSolder";1;"100uF";;;
11;"J8";"TerminalBlock_Altech_AK300-4_P5.00mm";1;"Screw_Terminal_01x04";;;
12;"U3";"SOT-89-3_Handsoldering";1;"AP1117-15";;;
13;"U2";"PowerIntegrations_SO-8";1;"MAX3485";;;
